path,phase,TOE_conf,HOSEL_conf,GRIP_conf
sawada_red_2_0332,train,0.99951446,0.9998462,0.9996264
red_0712_0036_23,train,0.99988794,0.9999783,0.99989235
ebihara_red_1_0203,train,0.9997886,0.99993455,0.9993685
red_0712_0036_118,train,0.9991648,0.99961674,0.97169614
sony_white_0006_0468,train,,,
ebihara_0712_4409_57,train,0.9994368,0.9997973,0.99990594
sony_red_0019_0359,train,0.9996282,0.9999454,0.9998902
white_0014_0146,train,0.9994073,0.99983,0.9994967
green_0014_0210,train,0.99570787,0.99885345,0.9994754
sony_red_0616_0002_0431,train,0.99783283,0.99923944,0.9998479
kitano_red_2_0162,train,0.9995987,0.99984276,0.99963427
red_0712_0036_57,train,0.99981636,0.9999411,0.99977297
ebihara_0712_4408_27,train,0.99983287,0.99992955,0.9993006
sony_red_0008_0242,train,0.9998925,0.9999609,0.9994592
ebihara_red_1_0198,train,0.99980754,0.9999685,0.9998522
green_0006_0429,train,0.99956816,0.999944,0.9998903
white_0006_0686,train,0.9991099,0.9998167,0.9998441
uratani_red_3_0320,train,0.99942434,0.9998312,0.99866605
sawada_green_2_0202,train,0.9999366,0.9999738,0.9997967
sasaki_green_1_0099,train,0.999464,0.99962854,0.99971634
sasaki_red_1_0135,train,0.99985945,0.9999691,0.99976426
ebihara_0712_4409_117,train,0.99991643,0.99994326,0.99981564
green_0008_0576,train,0.9977869,0.99918014,0.9998209
sony_red_0014_0441,train,0.99968874,0.99995327,0.9998734
white_0014_0111,train,0.998541,0.9996681,0.9998024
uratani_red_3_0147,train,0.9995721,0.99990773,0.9995266
red_0008_0352,train,0.9998926,0.9999746,0.9990465
sony_white_0006_0677,train,0.99848974,0.9996101,0.9987816
ebihara_0712_4408_98,train,0.999708,0.9999217,0.99987066
sony_red_0010_0154,train,0.99991107,0.99997115,0.9997756
ebihara_0712_4408_40,train,0.99980956,0.99992764,0.99967873
white_0014_0162,train,0.9985448,0.99958354,0.9906747
sony_white_0006_0491,train,0.9996119,0.9998808,0.99970275
sony_red_0017_0614,train,0.99966884,0.9998492,0.9991948
white_0008_0557,train,0.99991035,0.999969,0.9989423
sony_white_0006_0474,train,0.99989295,0.99997413,0.99986935
sony_green_0616_0006_0311,train,0.9982033,0.999212,0.99982625
sony_white_0005_0644,train,0.99988353,0.9999753,0.99978715
ebihara_0712_4409_77,train,0.9992187,0.9996489,0.999366
ebihara_0712_4409_12,train,0.999681,0.9999019,0.99961483
white_0008_0548,train,0.9999149,0.9999839,0.9997367
green_0008_0337,train,0.999666,0.9998863,0.99986887
green_0014_0206,train,0.99837613,0.9995666,0.9992778
ebihara_0712_4408_41,train,0.99963164,0.999718,0.99998105
sony_white_0005_0637,train,0.99992,0.9999888,0.999966
sasaki_red_1_0134,train,0.99983907,0.9999571,0.9994049
ebihara_0712_4409_4,train,0.9997812,0.999936,0.9998085
sasaki_red_1_0284,train,0.99992967,0.9999784,0.999676
white_0006_0662,train,0.99990296,0.9999801,0.9996232
ebihara_0712_4409_122,train,0.999699,0.99975234,0.99870753
ebihara_green_1_0213,train,0.9986124,0.99934894,0.99978167
green_0006_0439,train,0.9999032,0.99997365,0.9998301
green_0006_0670,train,0.9991881,0.99977285,0.99991167
kitano_red_2_0206,train,0.9994597,0.99981064,0.99915934
sony_red_0014_0459,train,0.999835,0.9999529,0.99975616
sawada_red_2_0236,train,0.99884415,0.9997123,0.9991756
ebihara_0712_4409_133,train,0.9997633,0.99989307,0.99921775
red_0008_0528,train,0.9999049,0.9999472,0.9997336
green_0008_0461,train,0.9999677,0.99999523,0.9998921
green_0008_0523,train,0.99863917,0.999716,0.99887615
red_0712_0036_59,train,0.9999161,0.9999857,0.9999167
sony_white_0005_0635,train,0.99996233,0.9999939,0.9999639
kitano_red_2_0141,train,0.99979764,0.99989414,0.9998703
ebihara_0712_4408_1,train,0.99975246,0.99992347,0.9995301
kitano_red_2_0221,train,0.99957067,0.9998584,0.9993672
ebihara_0712_4409_112,train,0.9998473,0.99992585,0.9997453
ebihara_0712_4409_58,train,0.9997768,0.9999337,0.999723
sony_white_0006_0293,train,0.999936,0.9999939,0.9999826
red_0008_0491,train,0.9984465,0.99723107,0.993636
white_0006_0665,train,0.9998753,0.9999789,0.99971706
red_0006_0421,train,0.9997342,0.99991715,0.99909604
sony_white_0006_0533,train,0.99709845,0.999273,0.99947757
red_0006_0652,train,0.9979956,0.99969625,0.99972886
ebihara_0712_4408_22,train,0.999826,0.99994564,0.9997389
red_0008_0537,train,0.9999349,0.9999889,0.9997298
sony_white_0006_0323,train,0.9995103,0.9998559,0.999215
sasaki_green_1_0091,train,0.99983585,0.9999516,0.9995733
red_0008_0508,train,0.997621,0.9994548,0.99928755
ebihara_0712_4409_45,train,0.99993825,0.99998164,0.9997793
uratani_green_3_0293,train,0.9997055,0.9999176,0.9995635
sony_white_0006_0053,train,,,
ebihara_green_1_0142,train,0.9997229,0.99984074,0.99925643
sawada_red_2_0244,train,0.99941933,0.9993049,0.9996147
red_0006_0633,train,0.99983406,0.99996245,0.9997911
red_0712_0036_24,train,0.9999602,0.99999154,0.99992096
sawada_green_2_0145,train,0.99968433,0.9999076,0.9997172
kitano_red_2_0203,train,0.9995166,0.99981123,0.9998683
sawada_red_2_0139,train,0.9997991,0.99994147,0.99978954
sony_red_0010_0155,train,0.9999056,0.9999771,0.9997112
white_0014_0115,train,0.99991417,0.9999615,0.99992096
sawada_green_2_0198,train,0.9997478,0.9999348,0.999699
sony_red_0616_0002_0411,train,0.999678,0.999907,0.99984777
red_0008_0495,train,0.9970202,0.99884737,0.999813
sony_white_0006_0242,train,0.99984884,0.9999652,0.99971086
uratani_red_3_0313,train,0.99969804,0.99993277,0.99965787
white_0008_0403,train,0.9998791,0.9999671,0.9997992
ebihara_0712_4409_80,train,0.99904865,0.9996958,0.9995844
ebihara_0712_4409_48,train,0.9998286,0.99996006,0.999811
sony_red_0016_0656,train,0.99981064,0.99995625,0.99971014
sasaki_green_1_0043,train,0.99994946,0.9999591,0.9999484
sony_white_0006_0415,train,0.9989868,0.99973184,0.9999273
red_0712_0036_9,train,0.99987197,0.9999399,0.9995915
red_0008_0556,train,0.9923205,0.9980438,0.9996995
red_0712_0036_13,train,0.9998628,0.9999509,0.9996737
white_0008_0568,train,0.99869967,0.999772,0.9999528
white_0014_0257,train,0.99904436,0.9998171,0.9998872
sony_red_0019_0362,train,0.9999052,0.9999813,0.99981934
sony_red_0014_0442,train,0.999938,0.9999881,0.99969983
white_0006_0729,train,0.9995049,0.9998596,0.9969183
white_0008_0454,train,0.99298805,0.99732023,0.99954814
green_0006_0282,train,0.9999639,0.99999535,0.99996114
sawada_green_2_0118,train,0.9998989,0.9999751,0.9997266
sawada_red_2_0348,train,0.99986887,0.9999591,0.9997557
green_0006_0474,train,0.99800307,0.9996462,0.99970275
red_0008_0385,train,0.9978967,0.99952936,0.9993051
white_0014_0222,train,0.99964964,0.99993026,0.9995895
sony_red_0017_0622,train,0.9999163,0.9999685,0.9996087
ebihara_0712_4408_61,train,0.9997439,0.9998196,0.9997129
sawada_red_2_0204,train,0.9998487,0.9999497,0.99959916
ebihara_0712_4408_118,train,0.9999273,0.9999465,0.99990916
white_0006_0550,train,0.9980217,0.9995677,0.9995752
ebihara_0712_4408_72,train,0.99968517,0.9999076,0.99963486
ebihara_0712_4408_122,train,0.99849546,0.9993636,0.99852884
red_0008_0000,train,0.99975723,0.9999583,0.99984217
sasaki_green_1_0029,train,0.99880755,0.99960726,0.9996636
green_0014_0202,train,0.99953854,0.9998547,0.9999081
sony_red_0016_0303,train,0.99926275,0.9997863,0.999451
sony_red_0019_0365,train,0.9998098,0.9999379,0.9996686
sawada_red_2_0186,train,0.99991024,0.99998593,0.99993205
uratani_green_3_0161,train,0.99990964,0.9999664,0.9994709
ebihara_0712_4408_104,train,0.99934584,0.99980575,0.9990552
sony_white_0006_0687,train,0.9987679,0.9996965,0.9987294
red_0712_0036_11,train,0.99991834,0.99994504,0.9998747
kitano_red_2_0181,train,0.99990225,0.9999846,0.9999
green_0006_0655,train,0.99822766,0.99965894,0.9996062
sony_red_0008_0246,train,0.9993438,0.9998429,0.9996101
sawada_green_2_0162,train,0.99979335,0.999941,0.9998863
sony_red_0015_0416,train,0.99966633,0.99994886,0.9998165
red_0712_0036_102,train,0.9981818,0.9991873,0.99971896
ebihara_red_1_0210,train,0.9999157,0.99997294,0.9995303
sony_red_0616_0002_0392,train,0.9998105,0.9999342,0.99974614
sawada_red_2_0193,train,0.9999149,0.9999821,0.9997347
white_0006_0556,train,0.99860114,0.99965954,0.9998423
sony_red_0016_0644,train,0.99990916,0.99998355,0.9998049
uratani_red_3_0202,train,0.999496,0.99985623,0.9997689
red_0712_0036_124,train,0.9986959,0.99948835,0.9996464
sony_white_0006_0227,train,0.9998796,0.9999695,0.9997737
uratani_green_3_0225,train,0.99821246,0.99911803,0.9993917
white_0008_0442,train,0.9971595,0.9992848,0.99983287
ebihara_0712_4408_15,train,0.9996562,0.999879,0.999634
green_0008_0448,train,0.99994206,0.99998844,0.99990857
sawada_red_2_0283,train,0.99983823,0.9999665,0.9997569
sasaki_green_1_0101,train,0.9998436,0.9999502,0.9996526
sony_red_0009_0096,train,0.9994758,0.99986696,0.99961543
red_0712_0036_60,train,0.9998553,0.99997616,0.9998779
ebihara_0712_4408_103,train,0.9995122,0.9998474,0.99967957
uratani_green_3_0289,train,0.9993594,0.99953914,0.9991899
white_0014_0094,train,0.9985121,0.9993206,0.9996458
sony_red_0009_0095,train,0.99977785,0.99994564,0.99976593
ebihara_0712_4409_47,train,0.9997123,0.9999262,0.999826
white_0006_0537,train,0.99981886,0.9999622,0.9999211
ebihara_green_1_0030,train,0.9997323,0.99986506,0.9996666
sony_red_0010_0148,train,0.99991286,0.999982,0.9998325
kitano_red_2_0168,train,0.9988795,0.99953854,0.99981517
sony_red_0616_0002_0513,train,0.99987566,0.999969,0.99940395
green_0014_0163,train,0.9993343,0.999782,0.9996786
sasaki_green_1_0088,train,0.99916005,0.9997645,0.99909174
red_0712_0036_79,train,0.9992938,0.9995772,0.9995641
red_0008_0355,train,0.9999391,0.99998367,0.9995461
ebihara_0712_4408_71,train,0.99848276,0.999514,0.99978954
sony_white_0006_0237,train,0.9998067,0.9999572,0.9997949
ebihara_0712_4409_93,train,0.9981021,0.9992975,0.99990904
red_0712_0036_68,train,0.99957913,0.99987924,0.99941444
sony_green_0616_0006_0222,train,0.999864,0.9999634,0.9998122
green_0008_0531,train,0.99887997,0.9997452,0.9991835
sony_green_0616_0006_0403,train,0.9994727,0.9998399,0.999424
sony_red_0015_0428,train,0.99964917,0.99989784,0.9996717
white_0008_0546,train,0.9999167,0.99998116,0.999851
ebihara_red_1_0206,train,0.99987864,0.9999721,0.99990916
green_0006_0341,train,0.9988794,0.99959606,0.9999287
white_0008_0564,train,0.99990475,0.99997485,0.9997936
white_0006_0659,train,0.99977905,0.99995303,0.99986184
red_0712_0036_109,train,0.9991984,0.9990435,0.99949944
ebihara_green_1_0000,train,0.99983,0.9999579,0.99978286
ebihara_red_1_0068,train,0.99993145,0.9999863,0.9997967
ebihara_0712_4408_32,train,0.99990594,0.99996984,0.9996407
white_0014_0154,train,0.9983638,0.9996799,0.9987947
red_0006_0474,train,0.9999467,0.9999857,0.9994972
white_0006_0675,train,0.99987125,0.999943,0.99963784
sony_red_0009_0093,train,0.99991834,0.9999758,0.9996216
red_0008_0488,train,0.99863166,0.99786276,0.99716324
sony_green_0616_0006_0244,train,0.9999242,0.99994814,0.99990237
sony_red_0014_0452,train,0.9999249,0.9999758,0.9998078
kitano_green_2_0186,train,0.997928,0.99914134,0.99984074
ebihara_0712_4409_27,train,0.99887043,0.99939024,0.9999757
red_0712_0036_61,train,0.999813,0.9999714,0.99989784
white_0014_0072,train,0.99389863,0.99858403,0.999566
sony_red_0616_0002_0389,train,0.99995446,0.99997234,0.9999083
uratani_red_3_0306,train,0.9995208,0.9997068,0.9997112
red_0008_0497,train,0.99934906,0.9997962,0.9999267
white_0014_0119,train,0.99972826,0.9999604,0.9998235
red_0712_0036_100,train,0.99815255,0.9992136,0.9997147
ebihara_0712_4408_36,train,0.9998498,0.99997044,0.9998248
uratani_green_3_0164,train,0.9999161,0.9999696,0.99974126
green_0014_0047,train,0.9998241,0.99996066,0.99943453
ebihara_0712_4409_120,train,0.99982786,0.99984944,0.99886835
red_0712_0036_44,train,0.9986154,0.999373,0.99960977
ebihara_0712_4409_52,train,0.9996357,0.9998909,0.99961674
ebihara_0712_4408_109,train,0.999876,0.999954,0.9997371
ebihara_0712_4408_93,train,0.9992119,0.9993625,0.999899
ebihara_0712_4409_110,train,0.9998685,0.99994063,0.999943
white_0006_0513,train,0.99995995,0.99997914,0.99994123
sony_white_0006_0636,train,0.9988858,0.99915755,0.9999454
kitano_red_2_0216,train,0.99954396,0.9998965,0.9994566
white_0014_0045,train,0.9998758,0.99995875,0.9996093
red_0712_0036_116,train,0.9992974,0.9997316,0.9978064
white_0006_0498,train,0.9998404,0.99995863,0.9998486
ebihara_0712_4409_128,train,0.9997522,0.9999224,0.99885964
sony_white_0006_0484,train,0.996789,0.9988926,0.9997116
white_0014_0062,train,0.9998455,0.9999646,0.9999293
ebihara_0712_4409_76,train,0.99902046,0.99928844,0.9990269
ebihara_green_1_0150,train,0.9995192,0.9998629,0.99979526
kitano_green_2_0141,train,0.9998109,0.9998035,0.99899083
sony_red_0015_0421,train,0.99982613,0.99995446,0.99963343
kitano_green_2_0108,train,0.9995881,0.99981993,0.9994655
sawada_green_2_0217,train,0.9996916,0.9999187,0.99945086
red_0712_0036_72,train,0.99947935,0.9998634,0.9997019
ebihara_0712_4409_13,train,0.99996674,0.99999166,0.99999523
sony_white_0006_0272,train,0.9998511,0.9999802,0.9999665
ebihara_green_1_0187,train,0.9990038,0.99968123,0.99981743
ebihara_0712_4409_10,train,0.9998703,0.99996233,0.9994324
sawada_green_2_0098,train,0.9999088,0.99995685,0.99982053
uratani_green_3_0299,train,0.99973553,0.9998965,0.99963796
uratani_red_3_0281,train,0.9998753,0.99997914,0.99990594
red_0712_0036_95,train,0.9987803,0.9988715,0.99856585
sasaki_green_1_0128,train,0.99992716,0.99995315,0.999881
ebihara_0712_4409_30,train,0.9971343,0.99886346,0.99881685
ebihara_0712_4409_132,train,0.9998925,0.9999596,0.9994073
red_0006_0708,train,0.99967575,0.99993896,0.99968636
sawada_red_2_0242,train,0.99872595,0.9995198,0.99943703
sony_white_0006_0352,train,0.99930954,0.9998167,0.99994826
white_0006_0515,train,0.99984694,0.99994695,0.9994603
sasaki_red_1_0019,train,0.9998293,0.99994993,0.99960726
ebihara_0712_4409_71,train,0.99891865,0.9993419,0.99913776
white_0006_0582,train,0.99846786,0.9991835,0.9994492
ebihara_0712_4409_65,train,0.9986792,0.99944097,0.999736
ebihara_0712_4408_55,train,0.9997838,0.9999368,0.9996978
sasaki_green_1_0129,train,0.9998988,0.9999299,0.99988866
white_0008_0506,train,,,
red_0712_0036_73,train,0.9993729,0.9998267,0.9997129
red_0006_0476,train,0.99995077,0.9999876,0.99950063
ebihara_0712_4409_95,train,0.99930334,0.99980706,0.9992964
sony_red_0015_0425,train,0.99918264,0.9996178,0.9988545
kitano_red_2_0150,train,0.9996406,0.9998702,0.9997825
sasaki_green_1_0025,train,0.9988919,0.99966145,0.99955326
sawada_red_2_0240,train,0.99930763,0.999777,0.9995437
sony_white_0005_0649,train,0.99988973,0.9999616,0.99948835
sony_red_0017_0617,train,0.9998466,0.9999609,0.99981993
red_0008_0534,train,0.99986017,0.9999701,0.9995782
ebihara_0712_4409_11,train,0.9997999,0.99992526,0.9994703
red_0712_0036_51,train,0.9997638,0.9999368,0.9994535
sawada_green_2_0223,train,0.999874,0.9999726,0.99976104
ebihara_0712_4408_42,train,0.99854654,0.99896336,0.9999839
ebihara_0712_4409_37,train,0.99963844,0.9998559,0.99987483
red_0006_0594,train,0.9933483,0.9955988,0.9940182
green_0006_0247,train,0.9999697,0.999995,0.99991226
ebihara_green_1_0149,train,0.9997017,0.9999149,0.9997547
uratani_red_3_0169,train,0.9999163,0.99998164,0.9997359
sony_red_0616_0002_0406,train,0.9997733,0.99993706,0.99989593
sawada_red_2_0085,train,0.9997329,0.9999323,0.99959654
sony_white_0006_0486,train,0.99946314,0.99980265,0.9997726
sawada_red_2_0189,train,0.99991024,0.9999833,0.9999144
red_0006_0647,train,0.99992645,0.99997234,0.9997305
uratani_green_3_0309,train,0.99959165,0.99986196,0.9991381
ebihara_0712_4408_59,train,0.99937683,0.99979144,0.99909914
sony_red_0019_0371,train,0.9998988,0.9999746,0.99985707
sony_red_0616_0002_0221,train,0.9998394,0.9999342,0.99931157
ebihara_red_1_0240,train,0.99921525,0.99969447,0.99873906
red_0712_0036_126,train,0.99948287,0.9998354,0.9995542
green_0014_0251,train,0.9999417,0.99999094,0.9997899
white_0006_0693,train,0.9993587,0.9997254,0.99953854
red_0008_0544,train,0.9998467,0.9999548,0.99950993
uratani_red_3_0285,train,0.9999125,0.99998605,0.9999409
white_0008_0641,train,0.99847263,0.9994056,0.9984169
white_0008_0541,train,0.9999018,0.9999746,0.9996517
white_0014_0041,train,0.9997559,0.9999578,0.99991703
green_0006_0488,train,0.9982426,0.99961615,0.99947494
sasaki_red_1_0144,train,0.99972385,0.99993145,0.99972504
green_0006_0304,train,0.9998312,0.9999628,0.9995515
sony_red_0019_0357,train,0.9999442,0.99999166,0.99996674
red_0712_0036_46,train,0.9996749,0.9997842,0.9999862
green_0006_0430,train,0.9999187,0.9999851,0.99981815
uratani_green_3_0285,train,0.99995387,0.99998355,0.9996879
red_0712_0036_45,train,0.99987376,0.99992144,0.99998045
sony_red_0019_0368,train,0.9999386,0.99998033,0.9998048
sony_red_0010_0146,train,0.99993956,0.9999889,0.9998932
sawada_red_2_0342,train,0.9998461,0.9999534,0.9994815
sony_red_0616_0002_0519,train,0.9998609,0.9999579,0.99974626
white_0006_0674,train,0.9998241,0.9999553,0.99984205
white_0014_0117,train,0.9998022,0.9999348,0.99944085
white_0008_0426,train,0.99919635,0.99976295,0.9992078
ebihara_0712_4409_88,train,0.9989832,0.99965584,0.999684
red_0712_0036_84,train,0.99906534,0.9996511,0.99681747
green_0008_0510,train,0.9995648,0.99990475,0.99916387
ebihara_0712_4409_111,train,0.9996959,0.9997645,0.99917006
kitano_green_2_0131,train,0.9977958,0.9992372,0.9991054
sony_white_0006_0407,train,0.99758506,0.9992576,0.99989986
white_0006_0543,train,0.99938166,0.99987555,0.9998634
kitano_green_2_0089,train,0.99984944,0.99989796,0.99996924
white_0014_0403,train,0.9977227,0.99967146,0.9999541
red_0006_0645,train,0.9998216,0.9998884,0.99971
ebihara_0712_4408_26,train,0.9996884,0.99987733,0.9992256
white_0006_0684,train,0.99930453,0.9998504,0.9996729
sony_red_0616_0002_0502,train,0.9999099,0.99998116,0.9998783
white_0014_0028,train,0.9999286,0.99998784,0.9997806
sasaki_green_1_0034,train,0.9986972,0.99953556,0.9995115
sasaki_red_1_0173,train,0.9990289,0.999757,0.9993759
sony_red_0017_0619,train,0.9998568,0.9999622,0.9998455
ebihara_0712_4409_96,train,0.99904925,0.99963903,0.9998603
kitano_green_2_0047,train,0.99991083,0.9999809,0.9998567
white_0014_0083,train,0.9993555,0.99984634,0.9999032
ebihara_0712_4408_60,train,0.9995759,0.9997738,0.9985862
sasaki_red_1_0016,train,0.99986863,0.9999547,0.99963844
ebihara_0712_4409_63,train,0.9988907,0.9994542,0.9996086
ebihara_0712_4408_105,train,0.99992526,0.99994564,0.9999008
sony_red_0019_0367,train,0.9997551,0.99988794,0.9992157
red_0006_0651,train,0.9993001,0.9998486,0.9997907
green_0006_0645,train,0.9992428,0.9998915,0.99984396
red_0712_0036_50,train,0.9995963,0.9998703,0.99935323
sasaki_green_1_0036,train,0.9982457,0.9993293,0.9995214
white_0008_0533,train,0.9998567,0.99996364,0.99987733
white_0008_0420,train,0.9996773,0.9999335,0.9996667
ebihara_0712_4409_43,train,0.9998273,0.99994755,0.9997274
red_0712_0036_132,train,0.99882525,0.99962604,0.9998548
sony_white_0006_0492,train,0.99911326,0.9997069,0.99981064
sony_red_0010_0151,train,0.99978215,0.9999392,0.9997719
green_0008_0552,train,0.9988318,0.99956113,0.9988147
red_0006_0614,train,0.99950683,0.9999027,0.999728
ebihara_red_1_0187,train,0.99957937,0.99989045,0.99913895
sawada_green_2_0167,train,0.9997677,0.99992883,0.99973685
sony_white_0006_0333,train,0.99943095,0.9998387,0.99979466
white_0006_0697,train,0.9994735,0.9998061,0.99957305
uratani_red_3_0326,train,0.99712676,0.99902546,0.99941516
sawada_green_2_0205,train,0.9996561,0.9998374,0.99602747
ebihara_red_1_0079,train,0.9999031,0.9999851,0.99995697
red_0008_0634,train,0.999461,0.9998807,0.9989573
sony_white_0006_0321,train,0.9999708,0.999979,0.9999529
red_0008_0669,train,0.9991936,0.99981886,0.99786735
red_0006_0701,train,0.99951303,0.9998982,0.9993019
white_0008_0410,train,0.99982625,0.99995995,0.999803
green_0014_0259,train,0.9993625,0.999835,0.99933964
green_0014_0271,train,0.9995365,0.99987245,0.99957603
red_0006_0616,train,0.9990503,0.99977547,0.99928814
sony_red_0616_0002_0358,train,0.9998652,0.9999764,0.9999286
sawada_red_2_0184,train,0.9998416,0.9999629,0.9998055
ebihara_0712_4408_25,train,0.9997893,0.9999422,0.9994553
green_0006_0175,train,0.99981457,0.999925,0.9990097
green_0008_0569,train,0.9986511,0.99957675,0.9997062
green_0006_0743,train,0.9997632,0.999959,0.99990904
ebihara_green_1_0143,train,0.99958414,0.99975556,0.99952924
green_0014_0284,train,0.99919647,0.99981207,0.9993611
white_0008_0614,train,0.99950874,0.9999132,0.9997503
ebihara_green_1_0222,train,0.9972179,0.99894303,0.99953747
sony_red_0015_0417,train,0.99990773,0.99998164,0.99975234
sony_white_0005_0651,train,0.99995077,0.99998415,0.99990404
ebihara_0712_4409_67,train,0.99911445,0.9997389,0.99957114
green_0014_0183,train,0.99922764,0.9997881,0.99969435
sony_green_0616_0006_0393,train,0.9998758,0.99997365,0.99956137
red_0712_0036_122,train,0.9988576,0.99966466,0.99919456
uratani_green_3_0184,train,0.99964166,0.99989223,0.99955827
green_0006_0263,train,0.999928,0.99999154,0.9999788
ebihara_0712_4409_15,train,0.99983454,0.99994636,0.9994567
ebihara_0712_4409_74,train,0.99821633,0.9991264,0.9989396
sasaki_green_1_0032,train,0.99986434,0.9999558,0.99982834
sony_white_0006_0479,train,0.9996809,0.9999151,0.99972457
ebihara_0712_4408_117,train,0.9999583,0.99997294,0.999951
white_0014_0131,train,0.997552,0.99963605,0.9995061
green_0014_0243,train,0.99988806,0.99996674,0.9997087
uratani_green_3_0311,train,0.9998605,0.9999652,0.9998441
ebihara_0712_4409_138,train,0.9997191,0.99986935,0.9986664
ebihara_0712_4409_139,train,0.99970645,0.99986935,0.9990802
white_0006_0673,train,0.9997687,0.9999349,0.99955744
kitano_red_2_0214,train,0.99970067,0.99993527,0.9997942
red_0006_0526,train,0.99361414,0.9977888,0.9999007
ebihara_0712_4409_105,train,0.99976665,0.99995494,0.99981016
white_0006_0597,train,0.99525815,0.99789315,0.99975294
white_0008_0570,train,0.999065,0.9998317,0.9999217
kitano_red_2_0172,train,0.9997514,0.9999379,0.99958235
green_0006_0665,train,0.9996511,0.999905,0.9997495
white_0014_0101,train,0.9976841,0.99905556,0.9999162
sony_red_0017_0618,train,0.99993515,0.99998343,0.9999007
red_0006_0581,train,0.99898535,0.99973255,0.9988726
ebihara_0712_4409_108,train,0.9998634,0.9999646,0.9998124
red_0712_0036_33,train,0.999801,0.99994195,0.9995035
