path,phase,TOE_x,TOE_y,HOSEL_x,HOSEL_y,GRIP_x,GRIP_y
sony_white_0006_0293,train,0.048148,0.349479,0.069444,0.372917,0.327778,0.455729
red_0008_0491,train,0.786458,0.317593,0.803646,0.303704,0.795833,0.360185
white_0006_0665,train,0.335417,0.832407,0.359896,0.832407,0.511458,0.586111
red_0006_0421,train,0.583333,0.778704,0.595833,0.798148,0.697917,0.677778
sony_white_0006_0533,train,0.169444,0.288021,0.20463,0.271875,0.461111,0.334896
red_0006_0652,train,0.907813,0.258333,0.878646,0.291667,0.73125,0.512037
ebihara_0712_4408_22,train,0.65,0.615104,0.634259,0.622396,0.443519,0.5625
red_0008_0537,train,0.486458,0.855556,0.508333,0.873148,0.670833,0.641667
sony_white_0006_0323,train,0.361111,0.258333,0.325926,0.269792,0.337963,0.401042
sasaki_green_1_0091,train,0.510938,0.360185,0.515104,0.396296,0.573958,0.547222
red_0008_0508,train,0.909896,0.202778,0.919792,0.227778,0.7625,0.475926
ebihara_0712_4409_45,train,0.187037,0.45,0.181481,0.461458,0.317593,0.495312
uratani_green_3_0293,train,0.629687,0.803704,0.613542,0.808333,0.539062,0.618519
sony_white_0006_0053,train,0.506481,0.666146,0.512963,0.656771,0.514815,0.532292
ebihara_green_1_0142,train,0.656771,0.407407,0.675,0.442593,0.676042,0.575926
sawada_red_2_0244,train,0.403646,0.649074,0.389062,0.639815,0.410938,0.502778
red_0006_0633,train,0.555729,0.812037,0.567187,0.828704,0.676042,0.649074
red_0712_0036_24,train,0.124074,0.458333,0.137037,0.473438,0.391667,0.515104
sawada_green_2_0145,train,0.477083,0.205556,0.460417,0.208333,0.440625,0.387037
kitano_red_2_0203,train,0.559896,0.078704,0.570833,0.087963,0.591667,0.244444
sawada_red_2_0139,train,0.424479,0.218519,0.413021,0.236111,0.373437,0.439815
sony_red_0010_0155,train,0.938889,0.447917,0.902778,0.470833,0.601852,0.449479
white_0014_0115,train,0.504167,0.416667,0.508333,0.461111,0.519271,0.551852
sawada_green_2_0198,train,0.652604,0.814815,0.638542,0.817593,0.540625,0.638889
sony_red_0616_0002_0411,train,0.631481,0.341146,0.605556,0.330208,0.432407,0.400521
red_0008_0495,train,0.816146,0.283333,0.843229,0.262963,0.794271,0.376852
sony_white_0006_0242,train,0.17037,0.605729,0.19537,0.617708,0.399074,0.517188
uratani_red_3_0313,train,0.353125,0.307407,0.365625,0.300926,0.467708,0.387963
white_0008_0403,train,0.547917,0.19537,0.542708,0.235185,0.491667,0.405556
ebihara_0712_4409_80,train,0.587037,0.532813,0.587963,0.520312,0.437963,0.443229
ebihara_0712_4409_48,train,0.137963,0.376042,0.133333,0.389583,0.307407,0.470833
sony_red_0016_0656,train,0.77963,0.573438,0.75463,0.586458,0.587037,0.503125
sasaki_green_1_0043,train,0.519271,0.322222,0.508854,0.316667,0.529167,0.412037
sony_white_0006_0415,train,0.587963,0.278125,0.561111,0.277083,0.374074,0.382292
red_0712_0036_9,train,0.537037,0.652083,0.519444,0.650521,0.509259,0.547917
red_0008_0556,train,0.946354,0.194444,0.922396,0.214815,0.74375,0.466667
red_0712_0036_13,train,0.421296,0.630208,0.413889,0.633333,0.482407,0.546354
white_0008_0568,train,0.861458,0.375926,0.846875,0.425,0.629687,0.493519
white_0014_0257,train,0.852604,0.044444,0.85625,0.118519,0.682813,0.415741
sony_red_0019_0362,train,0.182407,0.608854,0.235185,0.6125,0.434259,0.521875
sony_red_0014_0442,train,0.105556,0.560417,0.148148,0.578125,0.412963,0.517188
white_0006_0729,train,0.382292,0.45463,0.385937,0.414815,0.530729,0.247222
white_0008_0454,train,0.7375,0.307407,0.728646,0.29537,0.574479,0.280556
green_0006_0282,train,0.275,0.305556,0.273958,0.348148,0.394792,0.512963
sawada_green_2_0118,train,0.384375,0.197222,0.377083,0.236111,0.444271,0.462963
sawada_red_2_0348,train,0.638021,0.656481,0.622917,0.691667,0.488542,0.625926
green_0006_0474,train,0.348438,0.30463,0.365625,0.275,0.540625,0.289815
red_0008_0385,train,0.934375,0.22963,0.929688,0.275926,0.759375,0.488889
white_0014_0222,train,0.500521,0.185185,0.519792,0.156481,0.655208,0.296296
sony_red_0017_0622,train,0.927778,0.54375,0.90463,0.563542,0.625,0.494792
ebihara_0712_4408_61,train,0.180556,0.485417,0.17963,0.494271,0.297222,0.505729
sawada_red_2_0204,train,0.627604,0.714815,0.6125,0.714815,0.493229,0.623148
ebihara_0712_4408_118,train,0.307407,0.45625,0.292593,0.459375,0.311111,0.559375
white_0006_0550,train,0.660937,0.103704,0.653646,0.117593,0.500521,0.347222
ebihara_0712_4408_72,train,0.221296,0.327083,0.202778,0.338542,0.284259,0.431771
ebihara_0712_4408_122,train,0.284259,0.556771,0.271296,0.552083,0.362037,0.521875
red_0008_0000,train,0.530729,0.851852,0.55,0.867593,0.69375,0.680556
sasaki_green_1_0029,train,0.489583,0.265741,0.480208,0.276852,0.536979,0.45
green_0014_0202,train,0.646354,0.052778,0.669271,0.075,0.682292,0.371296
sony_red_0016_0303,train,0.506481,0.670833,0.510185,0.661458,0.508333,0.54375
sony_red_0019_0365,train,0.4,0.6625,0.419444,0.644792,0.480556,0.523438
sawada_red_2_0186,train,0.24375,0.442593,0.242708,0.467593,0.355208,0.580556
uratani_green_3_0161,train,0.473958,0.292593,0.467187,0.334259,0.482292,0.47037
ebihara_0712_4408_104,train,0.321296,0.321875,0.307407,0.332292,0.3,0.453646
sony_white_0006_0687,train,0.235185,0.357812,0.24537,0.347396,0.509259,0.405729
red_0712_0036_11,train,0.490741,0.647917,0.47963,0.644271,0.500926,0.547396
kitano_red_2_0181,train,0.350521,0.221296,0.348438,0.253704,0.451562,0.368519
green_0006_0655,train,0.484896,0.02963,0.507812,0.041667,0.588542,0.333333
sony_red_0008_0246,train,0.864815,0.553125,0.830556,0.566146,0.567593,0.480208
sawada_green_2_0162,train,0.5,0.251852,0.486458,0.247222,0.445833,0.39537
sony_red_0015_0416,train,0.15,0.548438,0.182407,0.561458,0.460185,0.520833
red_0712_0036_102,train,0.67037,0.459375,0.658333,0.439583,0.47037,0.398438
ebihara_red_1_0210,train,0.755208,0.559259,0.744271,0.585185,0.614062,0.581481
sony_red_0616_0002_0392,train,0.40463,0.327604,0.383333,0.3375,0.360185,0.424479
sawada_red_2_0193,train,0.252083,0.771296,0.270833,0.788889,0.4,0.652778
white_0006_0556,train,0.680729,0.113889,0.670312,0.128704,0.521875,0.313889
sony_red_0016_0644,train,0.162963,0.602083,0.184259,0.616146,0.450926,0.531771
uratani_red_3_0202,train,0.486458,0.201852,0.468229,0.205556,0.398438,0.363889
red_0712_0036_124,train,0.565741,0.290625,0.582407,0.304167,0.556481,0.427083
sony_white_0006_0227,train,0.266667,0.632812,0.296296,0.641146,0.426852,0.522917
uratani_green_3_0225,train,0.556771,0.348148,0.547917,0.324074,0.475,0.335185
white_0008_0442,train,0.748437,0.212037,0.739583,0.214815,0.558333,0.294444
ebihara_0712_4408_15,train,0.560185,0.588021,0.546296,0.595833,0.413889,0.554167
green_0008_0448,train,0.559375,0.206481,0.543229,0.223148,0.465625,0.391667
sawada_red_2_0283,train,0.313542,0.397222,0.31875,0.411111,0.441667,0.487037
sasaki_green_1_0101,train,0.690625,0.794444,0.679688,0.794444,0.616667,0.626852
sony_red_0009_0096,train,0.912963,0.533854,0.87963,0.5375,0.601852,0.471875
red_0712_0036_60,train,0.199074,0.415625,0.203704,0.432292,0.415741,0.499479
ebihara_0712_4408_103,train,0.359259,0.320312,0.343519,0.327083,0.302778,0.449479
uratani_green_3_0289,train,0.536979,0.649074,0.547917,0.642593,0.530208,0.594444
white_0014_0094,train,0.714063,0.273148,0.724479,0.259259,0.617708,0.297222
sony_red_0009_0095,train,0.860185,0.579167,0.828704,0.580208,0.590741,0.482812
ebihara_0712_4409_47,train,0.147222,0.403646,0.141667,0.416667,0.310185,0.480208
white_0006_0537,train,0.596354,0.119444,0.588021,0.15,0.494792,0.371296
ebihara_green_1_0030,train,0.630208,0.381481,0.624479,0.434259,0.626563,0.532407
sony_red_0010_0148,train,0.19537,0.620833,0.239815,0.622396,0.427778,0.492188
kitano_red_2_0168,train,0.589583,0.157407,0.570833,0.146296,0.479687,0.227778
sony_red_0616_0002_0513,train,0.347222,0.636458,0.383333,0.640104,0.550926,0.530208
green_0014_0163,train,0.560937,0.737963,0.570312,0.749074,0.585417,0.682407
sasaki_green_1_0088,train,0.501563,0.287963,0.5,0.310185,0.560937,0.513889
red_0712_0036_79,train,0.602778,0.407813,0.618519,0.415625,0.57963,0.454167
red_0008_0355,train,0.806771,0.45463,0.803646,0.488889,0.720833,0.580556
ebihara_0712_4408_71,train,0.188889,0.326562,0.173148,0.341146,0.278704,0.433854
sony_white_0006_0237,train,0.205556,0.621354,0.235185,0.630729,0.417593,0.519271
ebihara_0712_4409_93,train,0.366667,0.31875,0.355556,0.317708,0.327778,0.427083
red_0712_0036_68,train,0.718519,0.648438,0.696296,0.646354,0.571296,0.530208
sony_green_0616_0006_0222,train,0.158333,0.335417,0.153704,0.352083,0.289815,0.426563
green_0008_0531,train,0.366667,0.467593,0.375,0.42037,0.507292,0.3
sony_green_0616_0006_0403,train,0.663889,0.633854,0.647222,0.628646,0.55463,0.5125
sony_red_0015_0428,train,0.775,0.629167,0.751852,0.625521,0.608333,0.520833
white_0008_0546,train,0.343229,0.57963,0.359896,0.600926,0.502083,0.558333
ebihara_red_1_0206,train,0.760417,0.803704,0.741667,0.813889,0.609896,0.637037
green_0006_0341,train,0.664583,0.264815,0.644271,0.260185,0.469792,0.310185
white_0008_0564,train,0.797917,0.594444,0.772917,0.624074,0.6125,0.541667
white_0006_0659,train,0.336458,0.567593,0.349479,0.591667,0.473958,0.564815
red_0712_0036_109,train,0.419444,0.414583,0.433333,0.398438,0.487037,0.401562
ebihara_green_1_0000,train,0.792708,0.830556,0.771875,0.823148,0.665625,0.634259
ebihara_red_1_0068,train,0.299479,0.739815,0.319792,0.757407,0.454167,0.62963
ebihara_0712_4408_32,train,0.55,0.436979,0.533333,0.452604,0.472222,0.522396
white_0014_0154,train,0.389583,0.378704,0.397396,0.334259,0.599479,0.238889
red_0006_0474,train,0.84375,0.419444,0.848958,0.447222,0.764583,0.561111
white_0006_0675,train,0.745313,0.635185,0.717708,0.656481,0.586458,0.560185
sony_red_0009_0093,train,0.659259,0.649479,0.637963,0.641146,0.550926,0.498437
red_0008_0488,train,0.759896,0.350926,0.784375,0.333333,0.792188,0.356481
sony_green_0616_0006_0244,train,0.322222,0.292708,0.303704,0.306771,0.324074,0.402604
sony_red_0014_0452,train,0.688889,0.642188,0.669444,0.640104,0.544444,0.517188
kitano_green_2_0186,train,0.638021,0.513889,0.630729,0.484259,0.5125,0.401852
ebihara_0712_4409_27,train,0.253704,0.457813,0.237963,0.455208,0.349074,0.439583
red_0712_0036_61,train,0.183333,0.440625,0.191667,0.455729,0.431481,0.507812
white_0014_0072,train,0.701042,0.062963,0.704688,0.077778,0.563021,0.372222
sony_red_0616_0002_0389,train,0.366667,0.332813,0.343519,0.343229,0.351852,0.4375
uratani_red_3_0306,train,0.526042,0.291667,0.53125,0.312963,0.514062,0.440741
red_0008_0497,train,0.838021,0.257407,0.859896,0.252778,0.795833,0.377778
white_0014_0119,train,0.345833,0.796296,0.370833,0.8,0.5375,0.635185
red_0712_0036_100,train,0.637037,0.461458,0.631481,0.44375,0.459259,0.396875
ebihara_0712_4408_36,train,0.27037,0.342708,0.267593,0.351562,0.424074,0.469271
uratani_green_3_0164,train,0.458854,0.234259,0.45,0.271296,0.478646,0.450926
green_0014_0047,train,0.4125,0.875926,0.432812,0.885185,0.55625,0.698148
ebihara_0712_4409_120,train,0.277778,0.591667,0.282407,0.597917,0.326852,0.543229
red_0712_0036_44,train,0.648148,0.409375,0.626852,0.406771,0.422222,0.415625
ebihara_0712_4409_52,train,0.261111,0.31875,0.239815,0.327083,0.321296,0.440104
ebihara_0712_4408_109,train,0.218519,0.382812,0.216667,0.394792,0.290741,0.465625
ebihara_0712_4408_93,train,0.561111,0.440104,0.548148,0.428646,0.326852,0.429167
ebihara_0712_4409_110,train,0.108333,0.494271,0.123148,0.503646,0.272222,0.509896
white_0006_0513,train,0.439063,0.291667,0.440625,0.319444,0.459375,0.47037
sony_white_0006_0636,train,0.44537,0.367188,0.434259,0.346875,0.444444,0.382292
kitano_red_2_0216,train,0.388021,0.193519,0.397396,0.169444,0.521875,0.178704
white_0014_0045,train,0.384896,0.558333,0.396354,0.585185,0.504167,0.609259
red_0712_0036_116,train,0.390741,0.328646,0.419444,0.326042,0.501852,0.392708
white_0006_0498,train,0.35625,0.440741,0.363021,0.47037,0.453646,0.534259
ebihara_0712_4409_128,train,0.492593,0.6125,0.476852,0.620833,0.364815,0.534375
sony_white_0006_0484,train,0.893519,0.410938,0.893519,0.427083,0.655556,0.452083
white_0014_0062,train,0.594792,0.17037,0.595833,0.208333,0.533854,0.446296
ebihara_0712_4409_76,train,0.45,0.515625,0.47037,0.509896,0.453704,0.459896
ebihara_green_1_0150,train,0.763542,0.813889,0.75,0.812037,0.664062,0.619444
kitano_green_2_0141,train,0.540104,0.419444,0.528125,0.392593,0.497917,0.368519
sony_red_0015_0421,train,0.355556,0.646875,0.376852,0.647917,0.528704,0.530729
kitano_green_2_0108,train,0.583854,0.727778,0.58125,0.712963,0.563542,0.623148
sawada_green_2_0217,train,0.384896,0.240741,0.380729,0.271296,0.467187,0.446296
red_0712_0036_72,train,0.826852,0.583854,0.79537,0.5875,0.599074,0.517188
ebihara_0712_4409_13,train,0.589815,0.476562,0.575926,0.492188,0.482407,0.528125
sony_white_0006_0272,train,0.003704,0.477083,0.031481,0.495833,0.337963,0.483854
ebihara_green_1_0187,train,0.702604,0.635185,0.697917,0.60463,0.595313,0.415741
ebihara_0712_4409_10,train,0.632407,0.514583,0.625926,0.529167,0.482407,0.536979
sawada_green_2_0098,train,0.503646,0.62963,0.491146,0.631481,0.483333,0.578704
uratani_green_3_0299,train,0.6,0.651852,0.588021,0.661111,0.527083,0.577778
uratani_red_3_0281,train,0.256771,0.34537,0.253646,0.374074,0.36875,0.521296
red_0712_0036_95,train,0.469444,0.447396,0.469444,0.428125,0.440741,0.391667
sasaki_green_1_0128,train,0.504687,0.346296,0.505208,0.367593,0.550521,0.412963
ebihara_0712_4409_30,train,0.233333,0.446354,0.223148,0.441667,0.350926,0.4375
ebihara_0712_4409_132,train,0.508333,0.623958,0.487963,0.627083,0.421296,0.519271
red_0006_0708,train,0.592187,0.525926,0.594792,0.487963,0.765104,0.326852
sawada_red_2_0242,train,0.382812,0.65,0.370833,0.637037,0.410938,0.496296
sony_white_0006_0352,train,0.582407,0.282813,0.539815,0.278125,0.362963,0.375
white_0006_0515,train,0.455208,0.27037,0.454688,0.3,0.461979,0.463889
sasaki_red_1_0019,train,0.483854,0.610185,0.494792,0.618519,0.551562,0.457407
ebihara_0712_4409_71,train,0.475,0.527604,0.497222,0.521354,0.462963,0.455208
white_0006_0582,train,0.665625,0.297222,0.667188,0.274074,0.55625,0.271296
ebihara_0712_4409_65,train,0.621296,0.497917,0.612963,0.482812,0.405556,0.430729
ebihara_0712_4408_55,train,0.646296,0.601562,0.616667,0.610417,0.437963,0.551042
sasaki_green_1_0129,train,0.517708,0.365741,0.516667,0.386111,0.548438,0.412037
white_0008_0506,train,0.747396,0.29537,0.741667,0.280556,0.572917,0.281481
red_0712_0036_73,train,0.828704,0.560417,0.796296,0.566146,0.598148,0.511979
red_0006_0476,train,0.85625,0.398148,0.860417,0.425,0.767188,0.551852
ebihara_0712_4409_95,train,0.299074,0.309896,0.290741,0.3125,0.311111,0.425521
sony_red_0015_0425,train,0.608333,0.664062,0.601852,0.650521,0.580556,0.528125
kitano_red_2_0150,train,0.565625,0.148148,0.546875,0.143519,0.471875,0.224074
sasaki_green_1_0025,train,0.482292,0.25,0.479167,0.271296,0.541667,0.462037
sawada_red_2_0240,train,0.357812,0.646296,0.351042,0.628704,0.407813,0.49537
sony_white_0005_0649,train,0.600926,0.6625,0.596296,0.649479,0.552778,0.518229
sony_red_0017_0617,train,0.77963,0.631771,0.75463,0.6375,0.590741,0.511458
red_0008_0534,train,0.524479,0.832407,0.539062,0.850926,0.667708,0.641667
ebihara_0712_4409_11,train,0.635185,0.50625,0.615741,0.517708,0.484259,0.536458
red_0712_0036_51,train,0.512963,0.377604,0.492593,0.380729,0.394444,0.433333
